source_id,ra,dec,parallax,parallax_error,parallax_over_error,pmra,pmdec,pmra_error,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,ruwe
65221174334243584,56.38792874684938,24.006574152644987,0.8715793394153359,0.027682057,31.485353,8.690259990278536,2.1650970821417883,0.028647633,0.021589559,14.767355,15.162263,14.15678,1.0054827,0.96441156
65222724819445120,56.45443273741233,24.10326868492179,1.3582345715080935,0.023990138,56.616375,-8.037145686335357,-4.904212606422073,0.025747543,0.018309932,14.509795,14.945072,13.8940115,1.0510607,0.9848312
65226470031007872,56.657789181896675,24.12288409655768,0.573157389717418,0.102844045,5.5730734,3.8333578673572086,1.9496002110201731,0.12812658,0.09987818,17.258974,17.792177,16.524067,1.2681103,1.0520675
65227874483901824,56.527821246902285,24.111963869215842,1.028275040276142,0.059689097,17.227184,19.081399050261663,-25.277633425319454,0.06848901,0.045564625,16.27599,16.909098,15.485386,1.4237118,1.1139072
65232341249366016,55.89486492382132,23.708144961764816,1.2012745826637365,0.121151,9.915515,-3.6707394274427663,-5.594062618188012,0.16596936,0.11304901,17.6704,18.732275,16.673983,2.0582924,1.0519905
65233651216397440,55.93489380701752,23.760905511059253,1.2947750985573245,0.052321874,24.746344,-6.012983517955983,-9.195319815810446,0.06446876,0.04454265,16.025063,16.7607,15.1913,1.5693998,0.9697798
65237499506903424,55.798011538523184,23.80045362239635,0.6918173844231525,0.038668364,17.891043,-0.6664985289883398,3.0223354791801937,0.05027867,0.034482352,15.563656,16.062187,14.883699,1.1784878,0.9880572
65237636945857408,55.75598952327598,23.810089122708575,1.2018071148083214,0.018922225,63.512993,0.3914675416713389,-8.99291220135824,0.025428534,0.017153438,13.89732,14.314358,13.300985,1.0133724,1.0195718
65239213197287296,55.96909821873517,23.894917571528335,0.8284902289914009,0.13811278,5.99865,-1.6123224528519522,4.116716557533156,0.15187624,0.11816599,17.702223,18.435785,16.814335,1.6214504,1.0691942
65240969840564096,56.04280410801803,23.850121161762214,0.6488320428582932,0.06714075,9.663759,1.7591646708024058,-6.785454349901874,0.07193181,0.054056756,16.521816,17.138952,15.764638,1.3743143,1.0888315
